Character,Percentage
y,13.769751693002258
l,7.44920993227991
i,6.997742663656885
b,6.772009029345373
p,6.772009029345373
j,6.5462753950338595
m,5.8690744920993225
w,5.8690744920993225
x,5.417607223476298
æ,4.514672686230249
q,4.514672686230249
c,3.611738148984198
a,2.9345372460496613
!,2.4830699774266365
",",2.2573363431151243
r,2.2573363431151243
v,2.0316027088036117
k,2.0316027088036117
t,1.805869074492099
z,1.3544018058690745
u,0.9029345372460496
n,0.9029345372460496
g,0.9029345372460496
.,0.6772009029345373
d,0.4514672686230248
s,0.4514672686230248
?,0.2257336343115124
:,0.2257336343115124
